nconst,primaryName,birthYear,deathYear,primaryName_clean
nm0001173,Aaron Eckhart,1968,,aaron eckhart
nm1093951,Aaron Taylor-Johnson,1990,,aaron taylor johnson
nm1113550,Abigail Breslin,1996,,abigail breslin
nm3485845,Adam Driver,1983,,adam driver
nm0001191,Adam Sandler,1966,,adam sandler
nm0015382,Adewale Akinnuoye-Agbaje,1967,,adewale akinnuoye agbaje
nm0128360,Adolph Caesar,1933,1986,adolph caesar
nm0579663,Adolphe Menjou,1890,1963,adolphe menjou
nm0056770,Adriana Barraza,1956,,adriana barraza
nm0004778,Adrien Brody,1973,,adrien brody
nm0001547,Agnes Moorehead,1900,1974,agnes moorehead
nm0848667,Akim Tamiroff,1899,1972,akim tamiroff
nm0000199,Al Pacino,1940,,al pacino
nm0000257,Alan Alda,1936,,alan alda
nm0000273,Alan Arkin,1934,,alan arkin
nm0000869,Alan Bates,1934,2003,alan bates
nm0000614,Alan Rickman,1946,2016,alan rickman
nm0876138,Alan Tudyk,1971,,alan tudyk
nm0060168,Albert Bassermann,1867,1952,albert bassermann
nm0000983,Albert Brooks,1947,,albert brooks
nm0001215,Albert Finney,1936,2019,albert finney
nm0000285,Alec Baldwin,1958,,alec baldwin
nm0000027,Alec Guinness,1914,2000,alec guinness
nm0461594,Alexander Knox,1907,1995,alexander knox
nm1573253,Alexander Ludwig,1992,,alexander ludwig
nm0005569,Alfre Woodard,1952,,alfre woodard
nm0526795,Alfred Lunt,1892,1977,alfred lunt
nm0532298,Ali MacGraw,1939,,ali macgraw
nm0103567,Alice Brady,1892,1939,alice brady
nm2539953,Alicia Vikander,1988,,alicia vikander
nm0001860,Alicia Witt,1975,,alicia witt
nm0533956,Aline MacMahon,1899,1991,aline macmahon
nm0005049,Allison Janney,1959,,allison janney
nm0004989,Alyson Hannigan,1974,,alyson hannigan
nm1086543,Amanda Seyfried,1985,,amanda seyfried
nm0000821,Amitabh Bachchan,1942,,amitabh bachchan
nm0010736,Amy Adams,1974,,amy adams
nm0001388,Amy Irving,1953,,amy irving
nm0001496,Amy Madigan,1950,,amy madigan
nm0688132,Amy Poehler,1971,,amy poehler
nm0752407,Amy Ryan,1968,,amy ryan
nm1869101,Ana de Armas,1988,,ana de armas
nm7363531,Andra Day,1984,,andra day
nm0498571,Andrea Leeds,1914,1984,andrea leeds
nm1940449,Andrew Garfield,1983,,andrew garfield
nm0795576,Andrew Shue,1967,,andrew shue
nm0000412,Andy Garcia,1956,,andy garcia
nm0490489,Andy Lau,1961,,andy lau
nm1676221,Andy Samberg,1978,,andy samberg
nm0785227,Andy Serkis,1964,,andy serkis
nm0000291,Angela Bassett,1958,,angela bassett
nm0001450,Angela Lansbury,1925,,angela lansbury
nm0001401,Angelina Jolie,1975,,angelina jolie
nm0001378,Anjelica Huston,1951,,anjelica huston
nm0001955,Ann Blyth,1928,,ann blyth
nm0362267,Ann Harding,1902,1981,ann harding
nm0000268,Ann-Margret,1941,,ann margret
nm0815433,Ann Sothern,1909,2001,ann sothern
nm0267506,Anna Faris,1976,,anna faris
nm0447695,Anna Kendrick,1985,,anna kendrick
nm0536167,Anna Magnani,1908,1973,anna magnani
nm0001593,Anna Paquin,1982,,anna paquin
nm0691600,Anna Popplewell,1988,,anna popplewell
nm1455681,AnnaSophia Robb,1993,,annasophia robb
nm0000271,Anne Archer,1947,,anne archer
nm0000843,Anne Bancroft,1931,2005,anne bancroft
nm0000879,Anne Baxter,1923,1985,anne baxter
nm0004266,Anne Hathaway,1982,,anne hathaway
nm0001649,Anne Ramsey,1929,1988,anne ramsey
nm0720843,Anne Revere,1903,1990,anne revere
nm0794297,Anne Shirley,1918,1993,anne shirley
nm0000906,Annette Bening,1958,,annette bening
nm0001633,Annie Potts,1952,,annie potts
nm0000733,Anouk Aimée,1932,,anouk aimee
nm0000355,Anthony Daniels,1946,,anthony daniels
nm0290047,Anthony Franciosa,1928,2006,anthony franciosa
nm0000164,Anthony Hopkins,1937,,anthony hopkins
nm1107001,Anthony Mackie,1978,,anthony mackie
nm0000578,Anthony Perkins,1932,1992,anthony perkins
nm0703033,Anthony Quayle,1913,1989,anthony quayle
nm0000063,Anthony Quinn,1915,2001,anthony quinn
nm0947338,Anton Yelchin,1989,2016,anton yelchin
nm0000104,Antonio Banderas,1960,,antonio banderas
nm3812858,Ariana Grande,1993,,ariana grande
nm0000090,Armin Mueller-Stahl,1930,,armin mueller stahl
nm0000216,Arnold Schwarzenegger,1947,,arnold schwarzenegger
nm0138770,Art Carney,1918,2003,art carney
nm0402277,Arthur Hunnicutt,1910,1979,arthur hunnicutt
nm0447913,Arthur Kennedy,1914,1990,arthur kennedy
nm0640023,Arthur O'Connell,1908,1981,arthur o'connell
nm0000171,Ashley Judd,1968,,ashley judd
nm0005110,Ashton Kutcher,1978,,ashton kutcher
nm0567653,Audra McDonald,1970,,audra mcdonald
nm0000030,Audrey Hepburn,1929,1993,audrey hepburn
nm0851582,Audrey Tautou,1976,,audrey tautou
nm0001257,Ava Gardner,1922,1990,ava gardner
nm5377144,Awkwafina,1988,,awkwafina
nm0057363,Barbara Barrie,1931,,barbara barrie
nm0000895,Barbara Bel Geddes,1922,2005,barbara bel geddes
nm0364455,Barbara Harris,1935,2018,barbara harris
nm0001347,Barbara Hershey,1948,,barbara hershey
nm0641966,Barbara O'Neil,1910,1980,barbara o'neil
nm0001766,Barbara Stanwyck,1907,1990,barbara stanwyck
nm0000659,Barbra Streisand,1942,,barbra streisand
nm5831542,Barkhad Abdi,1985,,barkhad abdi
nm0280178,Barry Fitzgerald,1888,1961,barry fitzgerald
nm0001651,Basil Rathbone,1892,1967,basil rathbone
nm0723968,Beah Richards,1920,2000,beah richards
nm0833152,Beatrice Straight,1914,2001,beatrice straight
nm0000255,Ben Affleck,1972,,ben affleck
nm0424565,Ben Johnson,1918,1996,ben johnson
nm0001426,Ben Kingsley,1943,,ben kingsley
nm0578853,Ben Mendelsohn,1969,,ben mendelsohn
nm0001774,Ben Stiller,1965,,ben stiller
nm1212722,Benedict Cumberbatch,1976,,benedict cumberbatch
nm0938950,Benedict Wong,1970,,benedict wong
nm0001125,Benicio Del Toro,1967,,benicio del toro
nm0067367,Bérénice Bejo,1976,,berenice bejo
nm0522281,Bessie Love,1898,1986,bessie love
nm0086198,Betsy Blair,1923,2009,betsy blair
nm0000012,Bette Davis,1908,1989,bette davis
nm0000541,Bette Midler,1945,,bette midler
nm0173993,Betty Compson,1897,1974,betty compson
nm0094135,Beulah Bondi,1889,1981,beulah bondi
nm0352778,Bill Hader,1978,,bill hader
nm3673242,Bill Murray,1908,1986,bill murray
nm0631490,Bill Nighy,1949,,bill nighy
nm0000597,Bill Pullman,1953,,bill pullman
nm0803889,Bill Skarsgård,1990,,bill skarsgard
nm0000992,Billie Burke,1884,1970,billie burke
nm0000671,Billy Bob Thornton,1955,,billy bob thornton
nm0000345,Billy Crystal,1948,,billy crystal
nm2813994,Billy Eichner,1978,,billy eichner
nm0001078,Bing Crosby,1903,1977,bing crosby
nm0001100,Blythe Danner,1943,,blythe danner
nm0000137,Bo Derek,1956,,bo derek
nm0001364,Bob Hoskins,1942,2014,bob hoskins
nm0627878,Bob Newhart,1929,,bob newhart
nm0756114,Bob Saget,1956,2022,bob saget
nm0201239,Bobby Darin,1936,1973,bobby darin
nm0335748,Bonita Granville,1923,1988,bonita granville
nm0001372,Bonnie Hunt,1961,,bonnie hunt
nm0000374,Brad Dourif,1950,,brad dourif
nm0000093,Brad Pitt,1963,,brad pitt
nm0177896,Bradley Cooper,1975,,bradley cooper
nm0000950,Brenda Blethyn,1946,,brenda blethyn
nm0002084,Brenda Fricker,1945,,brenda fricker
nm0882853,Brenda Vaccaro,1939,,brenda vaccaro
nm0000409,Brendan Fraser,1968,,brendan fraser
nm0000731,Brian Aherne,1902,1986,brian aherne
nm0002046,Brian Donlevy,1901,1972,brian donlevy
nm0488953,Brie Larson,1989,,brie larson
nm0811242,Brittany Snow,1986,,brittany snow
nm0002024,Broderick Crawford,1911,1986,broderick crawford
nm0001117,Bruce Davison,1946,,bruce davison
nm0001136,Bruce Dern,1936,,bruce dern
nm0000246,Bruce Willis,1955,,bruce willis
nm0186505,Bryan Cranston,1956,,bryan cranston
nm0397171,Bryce Dallas Howard,1981,,bryce dallas howard
nm0580565,Burgess Meredith,1907,1997,burgess meredith
nm0412322,Burl Ives,1909,1995,burl ives
nm0000044,Burt Lancaster,1913,1994,burt lancaster
nm0000608,Burt Reynolds,1936,2018,burt reynolds
nm0949350,Burt Young,1940,,burt young
nm0000139,Cameron Diaz,1972,,cameron diaz
nm0000298,Candice Bergen,1946,,candice bergen
nm0163748,Candy Clark,1947,,candy clark
nm0930209,Cara Williams,1925,2021,cara williams
nm1659547,Carey Mulligan,1985,,carey mulligan
nm0001303,Carla Gugino,1971,,carla gugino
nm0151919,Carol Channing,1921,2019,carol channing
nm0001406,Carol Kane,1952,,carol kane
nm0001479,Carole Lombard,1908,1942,carole lombard
nm0427700,Carolyn Jones,1930,1983,carolyn jones
nm0000402,Carrie Fisher,1956,2016,carrie fisher
nm0811202,Carrie Snodgress,1945,2004,carrie snodgress
nm0004647,Carroll Baker,1931,,carroll baker
nm0000026,Cary Grant,1904,1986,cary grant
nm0000729,Casey Affleck,1975,,casey affleck
nm1503432,Catalina Sandino Moreno,1981,,catalina sandino moreno
nm0000949,Cate Blanchett,1969,,cate blanchett
nm0122610,Catherine Burns,1945,2019,catherine burns
nm0000366,Catherine Deneuve,1943,,catherine deneuve
nm0001416,Catherine Keener,1959,,catherine keener
nm0005289,Catherine Oxenberg,1961,,catherine oxenberg
nm0001876,Catherine Zeta-Jones,1969,,catherine zeta jones
nm0001550,Cathy Moriarty,1960,,cathy moriarty
nm0445523,Cecil Kellaway,1890,1973,cecil kellaway
nm0147825,Cedric the Entertainer,1964,,cedric the entertainer
nm0002141,Celeste Holm,1917,2012,celeste holm
nm0424743,Celia Johnson,1908,1982,celia johnson
nm1569276,Chadwick Boseman,1976,2020,chadwick boseman
nm1475594,Channing Tatum,1980,,channing tatum
nm0001948,Charles Bickford,1891,1967,charles bickford
nm0000964,Charles Boyer,1899,1978,charles boyer
nm0002013,Charles Coburn,1877,1961,charles coburn
nm0001164,Charles Durning,1923,2012,charles durning
nm0001452,Charles Laughton,1899,1962,charles laughton
nm0206359,Charlie Day,1976,,charlie day
nm0000221,Charlie Sheen,1965,,charlie sheen
nm0000234,Charlize Theron,1975,,charlize theron
nm0001648,Charlotte Rampling,1946,,charlotte rampling
nm0000032,Charlton Heston,1923,2008,charlton heston
nm0001590,Chazz Palminteri,1952,,chazz palminteri
nm0000333,Cher,1946,,cher
nm0606431,Chester Morris,1901,1970,chester morris
nm0000331,Chevy Chase,1943,,chevy chase
nm0313381,Chief Dan George,1899,1981,chief dan george
nm0932629,Chill Wills,1902,1978,chill wills
nm0252230,Chiwetel Ejiofor,1977,,chiwetel ejiofor
nm1631269,Chloë Grace Moretz,1997,,chloe grace moretz
nm0001721,Chloë Sevigny,1974,,chloe sevigny
nm0177933,Chris Cooper,1951,,chris cooper
nm0262632,Chris Evans,1966,,chris evans
nm1165110,Chris Hemsworth,1983,,chris hemsworth
nm1517976,Chris Pine,1980,,chris pine
nm0695435,Chris Pratt,1979,,chris pratt
nm0001674,Chris Rock,1965,,chris rock
nm0001697,Chris Sarandon,1942,,chris sarandon
nm0000676,Chris Tucker,1971,,chris tucker
nm0000288,Christian Bale,1974,,christian bale
nm0376716,Christina Hendricks,1975,,christina hendricks
nm0001441,Christine Lahti,1950,,christine lahti
nm0910607,Christoph Waltz,1956,,christoph waltz
nm2395586,Christopher Mintz-Plasse,1989,,christopher mintz plasse
nm0001626,Christopher Plummer,1929,2021,christopher plummer
nm0000686,Christopher Walken,1943,,christopher walken
nm0001569,Chuck Norris,1940,,chuck norris
nm0001807,Cicely Tyson,1924,2021,cicely tyson
nm0872456,Claire Trevor,1910,2000,claire trevor
nm0000022,Clark Gable,1901,1960,clark gable
nm0163988,Clark Gregg,1962,,clark gregg
nm0001647,Claude Rains,1889,1967,claude rains
nm0001055,Claudette Colbert,1903,1996,claudette colbert
nm0731772,Cliff Robertson,1923,2011,cliff robertson
nm0916067,Clifton Webb,1889,1966,clifton webb
nm0000142,Clint Eastwood,1930,,clint eastwood
nm0654110,Clive Owen,1964,,clive owen
nm0001458,Cloris Leachman,1926,2021,cloris leachman
nm0545376,Colette Marchand,1925,2015,colette marchand
nm0268200,Colin Farrell,1938,,colin farrell
nm0000147,Colin Firth,1960,,colin firth
nm0341464,Corinne Griffith,1894,1979,corinne griffith
nm0664273,Cornel Wilde,1912,1989,cornel wilde
nm0001073,Courteney Cox,1964,,courteney cox
nm0272401,Craig Ferguson,1962,,craig ferguson
nm0005266,Craig T. Nelson,1944,,craig t. nelson
nm0000421,Cuba Gooding Jr.,1968,,cuba gooding jr.
nm7248827,Cynthia Erivo,1987,,cynthia erivo
nm0633223,Cynthia Nixon,1966,,cynthia nixon
nm5397459,Daisy Ridley,1992,,daisy ridley
nm0424848,Dakota Johnson,1989,,dakota johnson
nm0000101,Dan Aykroyd,1952,,dan aykroyd
nm0197314,Dan Dailey,1915,1978,dan dailey
nm0283945,Dan Fogler,1976,,dan fogler
nm0641397,Dan O'Herlihy,1919,2005,dan o'herlihy
nm1405398,Dan Stevens,1982,,dan stevens
nm11637386,Dan Whitney,,,dan whitney
nm0001022,Dana Carvey,1955,,dana carvey
nm1775091,Danai Gurira,1978,,danai gurira
nm0185819,Daniel Craig,1968,,daniel craig
nm0000358,Daniel Day-Lewis,1957,,daniel day lewis
nm2257207,Daniel Kaluuya,1989,,daniel kaluuya
nm0557292,Daniel Massey,1933,1998,daniel massey
nm0705356,Daniel Radcliffe,1989,,daniel radcliffe
nm0827663,Daniel Stern,1957,,daniel stern
nm0000732,Danny Aiello,1933,2019,danny aiello
nm0000362,Danny DeVito,1944,,danny devito
nm0000418,Danny Glover,1946,,danny glover
nm1176985,Dave Bautista,1969,,dave bautista
nm0001327,David Hasselhoff,1952,,david hasselhoff
nm0000057,David Niven,1910,1983,david niven
nm0001601,David Paymer,1954,,david paymer
nm0001710,David Schwimmer,1966,,david schwimmer
nm0005450,David Spade,1964,,david spade
nm0000657,David Strathairn,1949,,david strathairn
nm0415591,Dean Jagger,1903,1991,dean jagger
nm0001777,Dean Stockwell,1936,2021,dean stockwell
nm0001666,Debbie Reynolds,1932,2016,debbie reynolds
nm0000039,Deborah Kerr,1921,2007,deborah kerr
nm0000700,Debra Winger,1955,,debra winger
nm0000193,Demi Moore,1962,,demi moore
nm0065007,Demián Bichir,1963,,demian bichir
nm0001186,Denholm Elliott,1922,1992,denholm elliott
nm0001459,Denis Leary,1957,,denis leary
nm0000454,Dennis Hopper,1936,2010,dennis hopper
nm0000598,Dennis Quaid,1954,,dennis quaid
nm0000243,Denzel Washington,1954,,denzel washington
nm2353862,Dev Patel,1990,,dev patel
nm0330143,Dexter Gordon,1923,1990,dexter gordon
nm0004429,Dharmendra,1935,,dharmendra
nm0140792,Diahann Carroll,1935,2019,diahann carroll
nm0005384,Diana Ross,1944,,diana ross
nm0769311,Diana Scarwid,1955,,diana scarwid
nm0944087,Diana Wynyard,1906,1964,diana wynyard
nm0162283,Diane Cilento,1932,2011,diane cilento
nm0000473,Diane Keaton,1946,,diane keaton
nm0002663,Diane Ladd,1935,,diane ladd
nm0000178,Diane Lane,1965,,diane lane
nm0890215,Diane Varsi,1938,1992,diane varsi
nm0001848,Dianne Wiest,1946,,dianne wiest
nm0526019,Diego Luna,1979,,diego luna
nm0474801,Dilip Kumar,1922,2021,dilip kumar
nm0005023,Djimon Hounsou,1964,,djimon hounsou
nm0000185,Dolph Lundgren,1957,,dolph lundgren
nm1727304,Domhnall Gleeson,1983,,domhnall gleeson
nm0000747,Don Ameche,1908,1993,don ameche
nm0000332,Don Cheadle,1964,,don cheadle
nm0614916,Don Murray,1929,,don murray
nm0187981,Donald Crisp,1882,1974,donald crisp
nm2255973,Donald Glover,1983,,donald glover
nm0001656,Donna Reed,1921,1986,donna reed
nm0947447,Donnie Yen,1963,,donnie yen
nm0206382,Doris Day,1910,1998,doris day
nm0199268,Dorothy Dandridge,1922,1965,dorothy dandridge
nm0540416,Dorothy Malone,1924,2018,dorothy malone
nm0570192,Dorothy McGuire,1916,2001,dorothy mcguire
nm0000106,Drew Barrymore,1975,,drew barrymore
nm0001545,Dudley Moore,1935,2002,dudley moore
nm0000163,Dustin Hoffman,1937,,dustin hoffman
nm0425005,Dwayne Johnson,1972,,dwayne johnson
nm0001007,Dyan Cannon,1937,,dyan cannon
nm0066769,Ed Begley,1864,1933,ed begley
nm0000438,Ed Harris,1950,,ed harris
nm1159180,Ed Helms,1974,,ed helms
nm0943956,Ed Wynn,1886,1966,ed wynn
nm0000734,Eddie Albert,1906,2005,eddie albert
nm0000552,Eddie Murphy,1961,,eddie murphy
nm1519666,Eddie Redmayne,1982,,eddie redmayne
nm0004908,Edie Falco,1963,,edie falco
nm0262725,Edith Evans,1888,1976,edith evans
nm0639529,Edmond O'Brien,1915,1985,edmond o'brien
nm0350324,Edmund Gwenn,1877,1959,edmund gwenn
nm0646829,Edna May Oliver,1883,1942,edna may oliver
nm0122655,Edward Burns,1879,1954,edward burns
nm0001579,Edward James Olmos,1947,,edward james olmos
nm0001570,Edward Norton,1969,,edward norton
nm0107281,Eileen Brennan,1932,2013,eileen brennan
nm0373012,Eileen Heckart,1919,2001,eileen heckart
nm0662223,Eleanor Parker,1922,2013,eleanor parker
nm0000704,Elijah Wood,1981,,elijah wood
nm0074949,Elisabeth Bergner,1897,1986,elisabeth bergner
nm0000223,Elisabeth Shue,1963,,elisabeth shue
nm0006969,Elizabeth Banks,1974,,elizabeth banks
nm4456120,Elizabeth Debicki,1990,,elizabeth debicki
nm0366946,Elizabeth Hartman,1943,1987,elizabeth hartman
nm0001527,Elizabeth McGovern,1961,,elizabeth mcgovern
nm0000548,Elizabeth Montgomery,1933,1995,elizabeth montgomery
nm0647634,Elizabeth Olsen,1989,,elizabeth olsen
nm0852331,Elizabeth Taylor,1912,1975,elizabeth taylor
nm0000289,Ellen Barkin,1954,,ellen barkin
nm0000995,Ellen Burstyn,1932,,ellen burstyn
nm0179289,Ellen Corby,1911,1999,ellen corby
nm0001122,Ellen DeGeneres,1958,,ellen degeneres
nm0690186,Ellen Pompeo,1969,,ellen pompeo
nm2608689,Ellie Kemper,1980,,ellie kemper
nm0680983,Elliot Page,1987,,elliot page
nm0001285,Elliott Gould,1938,,elliott gould
nm0006471,Elsa Lanchester,1902,1986,elsa lanchester
nm0417837,Emil Jannings,1884,1950,emil jannings
nm0000389,Emilio Estevez,1962,,emilio estevez
nm1289434,Emily Blunt,1983,,emily blunt
nm0001833,Emily Watson,1967,,emily watson
nm1297015,Emma Stone,1988,,emma stone
nm0000668,Emma Thompson,1959,,emma thompson
nm0914612,Emma Watson,1990,,emma watson
nm0728938,Emmanuelle Riva,1927,2017,emmanuelle riva
nm0028143,Eric André,1972,,eric andre
nm0051509,Eric Bana,1968,,eric bana
nm1578287,Eric Roberts,1914,2010,eric roberts
nm0832314,Eric Stonestreet,1971,,eric stonestreet
nm0002233,Erich von Stroheim,1885,1957,erich von stroheim
nm0000308,Ernest Borgnine,1917,2012,ernest borgnine
nm0754676,Ernie Sabella,1949,,ernie sabella
nm0663820,Estelle Parsons,1927,,estelle parsons
nm0000160,Ethan Hawke,1970,,ethan hawke
nm0000856,Ethel Barrymore,1879,1959,ethel barrymore
nm0914083,Ethel Waters,1896,1977,ethel waters
nm0506405,Eugene Levy,1946,,eugene levy
nm1200692,Eva Green,1980,,eva green
nm0499170,Eva Le Gallienne,1899,1991,eva le gallienne
nm0001693,Eva Marie Saint,1924,,eva marie saint
nm1431940,Evangeline Lilly,1979,,evangeline lilly
nm0000781,Eve Arden,1908,1990,eve arden
nm0000191,Ewan McGregor,1971,,ewan mcgregor
nm3009232,Ezra Miller,1992,,ezra miller
nm0000719,F. Murray Abraham,1939,,f. murray abraham
nm0047810,Fay Bainter,1893,1968,fay bainter
nm0001159,Faye Dunaway,1941,,faye dunaway
nm0005031,Felicity Huffman,1962,,felicity huffman
nm0428065,Felicity Jones,1983,,felicity jones
nm0005244,Fernanda Montenegro,1929,,fernanda montenegro
nm0733460,Flora Robson,1902,1984,flora robson
nm0441042,Florence Kasumba,1976,,florence kasumba
nm6073955,Florence Pugh,1996,,florence pugh
nm0001845,Forest Whitaker,1961,,forest whitaker
nm0004920,Frances Fisher,1952,,frances fisher
nm0000531,Frances McDormand,1957,,frances mcdormand
nm0867144,Franchot Tone,1905,1968,franchot tone
nm0277975,Frank Finlay,1926,2016,frank finlay
nm0001449,Frank Langella,1938,,frank langella
